pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
146,logind,root,"pctxsw(voluntary=140320876528230, involuntary=0)","pmem(rss=3076096, vms=34465968128, pfaults=1888, pageins=95)",0.0,0.03581047058105469,0,1681319932.712718,0.021667252,0.048997952,0.0,0.0
147,revisiond,root,"pctxsw(voluntary=140320876528558, involuntary=0)","pmem(rss=3342336, vms=34498457600, pfaults=2848, pageins=36)",0.0,0.038909912109375,0,1681319932.713889,0.063395276,0.067782968,0.0,0.0
148,KernelEventAgent,root,"pctxsw(voluntary=140320876527787, involuntary=0)","pmem(rss=958464, vms=34458066944, pfaults=915, pageins=4)",0.0,0.011157989501953125,0,1681319932.714653,0.00530454,0.011487937,0.0,0.0
149,usermanagerd,root,"pctxsw(voluntary=140320876538229, involuntary=0)","pmem(rss=3276800, vms=34969821184, pfaults=2412, pageins=17)",0.0,0.03814697265625,0,1681319932.716067,0.583289216,0.31870528,0.0,0.0
151,bluetoothd,root,"pctxsw(voluntary=140320876584559, involuntary=0)","pmem(rss=17952768, vms=34551029760, pfaults=72462, pageins=464)",0.0,0.2089977264404297,0,1681319932.718492,5.371713024,1.871473536,0.0,0.0
152,notifyd,root,"pctxsw(voluntary=140320876576694, involuntary=0)","pmem(rss=1724416, vms=34466795520, pfaults=2124, pageins=17)",0.0,0.020074844360351562,0,1681319932.71996,1.039047424,1.100171648,0.0,0.0
153,sandboxd,root,"pctxsw(voluntary=140320876529614, involuntary=0)","pmem(rss=4358144, vms=34499076096, pfaults=4485, pageins=220)",0.0,0.0507354736328125,0,1681319932.720571,0.14601648,0.117482696,0.0,0.0
154,corebrightnessd,root,"pctxsw(voluntary=140320876530610, involuntary=0)","pmem(rss=7905280, vms=34498744320, pfaults=6236, pageins=128)",0.0,0.09202957153320312,0,1681319932.721842,0.107045288,0.126482496,0.0,0.0
155,AirPlayXPCHelper,root,"pctxsw(voluntary=140320876531844, involuntary=0)","pmem(rss=6557696, vms=34498748416, pfaults=4611, pageins=351)",0.0,0.07634162902832031,0,1681319932.722893,0.111059072,0.224798416,0.0,0.0
156,com.apple.cmio.registerassistantservice,root,"pctxsw(voluntary=140320876528341, involuntary=0)","pmem(rss=9248768, vms=34497413120, pfaults=4489, pageins=8)",0.0,0.10766983032226562,0,1681319932.724361,0.063501336,0.036389924,0.0,0.0
157,WindowServer,root,"pctxsw(voluntary=140320876740915, involuntary=0)","pmem(rss=54161408, vms=37631721472, pfaults=87750, pageins=1306)",0.0,0.6305217742919922,0,1681319933.197213,11.913505792,7.087510528,0.0,0.0
158,tccd,root,"pctxsw(voluntary=140320876545149, involuntary=0)","pmem(rss=12009472, vms=34507829248, pfaults=22019, pageins=89)",0.0,0.13980865478515625,0,1681319933.226411,2.77721216,1.705302528,0.0,0.0
159,cfprefsd,root,"pctxsw(voluntary=140320876558866, involuntary=0)","pmem(rss=3706880, vms=34467295232, pfaults=15964, pageins=4)",0.0,0.04315376281738281,0,1681319933.309822,2.996447232,1.451530624,0.0,0.0
173,analyticsd,_analyticsd,"pctxsw(voluntary=140320876538190, involuntary=0)","pmem(rss=11354112, vms=34500591616, pfaults=17073, pageins=63)",0.0,0.13217926025390625,0,1681319933.388236,0.53016752,0.462282496,0.0,0.0
182,aslmanager,root,"pctxsw(voluntary=140320876527755, involuntary=0)","pmem(rss=671744, vms=34466160640, pfaults=707, pageins=2)",0.0,0.00782012939453125,0,1681319933.406415,0.005732717,0.01651028,0.0,0.0
206,loginwindow,root,"pctxsw(voluntary=140320876537644, involuntary=0)","pmem(rss=19841024, vms=35084464128, pfaults=43329, pageins=653)",0.0,0.23097991943359375,0,1681319933.446543,0.798558912,0.607784704,0.0,0.0
207,lsd,root,"pctxsw(voluntary=140320876530796, involuntary=0)","pmem(rss=10309632, vms=34504892416, pfaults=5846, pageins=2079)",0.0,0.12001991271972656,0,1681319933.461918,0.420577856,0.140189856,0.0,0.0
208,contextstored,root,"pctxsw(voluntary=140320876534992, involuntary=0)","pmem(rss=10952704, vms=34516738048, pfaults=6383, pageins=351)",0.0,0.12750625610351562,0,1681319933.509152,0.369269152,0.308432704,0.0,0.0
209,backupd-helper,root,"pctxsw(voluntary=140320876527932, involuntary=0)","pmem(rss=3502080, vms=34466103296, pfaults=1827, pageins=19)",0.0,0.04076957702636719,0,1681319933.522843,0.01497641,0.026923336,0.0,0.0
210,PowerUIAgent,root,"pctxsw(voluntary=140320876528880, involuntary=0)","pmem(rss=7852032, vms=34497363968, pfaults=3535, pageins=200)",0.0,0.09140968322753906,0,1681319933.527729,0.047186896,0.100653008,0.0,0.0
