pid,name,username,cpu_percent,memory_percent
635,VTDecoderXPCService,jachian,0.0,0.04591941833496094
638,Code Helper (Renderer),jachian,0.0,3.175497055053711
657,IOUserBluetoothS,_driverkit,,
658,AssetCacheLocatorService,jachian,0.0,0.05965232849121094
659,Dropbox Helper (Renderer),jachian,0.0,0.22978782653808594
661,commerce,jachian,0.0,0.14176368713378906
663,Dropbox Helper (Renderer),jachian,0.0,0.09098052978515625
679,XprotectService,root,,
694,VirtualBox,jachian,0.0,0.296783447265625
710,universalAccessAuthWarn,jachian,0.0,0.09188652038574219
718,Code Helper (Renderer),jachian,0.0,0.6539821624755859
719,Code Helper (Plugin),jachian,0.0,0.8596420288085938
720,Code Helper (Renderer),jachian,0.0,0.26526451110839844
741,VBoxXPCOMIPCD,jachian,0.0,0.03228187561035156
743,VBoxSVC,jachian,0.0,0.08263587951660156
766,Code Helper (Renderer),jachian,0.0,0.20356178283691406
774,cpptools,jachian,0.0,0.10828971862792969
780,misagent,root,,
790,Notes,jachian,0.0,0.4749774932861328
795,maild,jachian,0.0,0.13132095336914062
814,ndoagent,jachian,0.0,0.032711029052734375
816,contentlinkingd,jachian,0.0,0.05602836608886719
818,financed,jachian,0.0,0.09260177612304688
820,zsh,jachian,0.0,0.03714561462402344
821,PaperKitExtension,jachian,0.0,0.19431114196777344
853,colorsync.useragent,jachian,0.0,0.025653839111328125
854,com.apple.ColorSyncXPCAgent,jachian,0.0,0.017070770263671875
857,ContainerMetadataExtractor,jachian,0.0,0.06108283996582031
859,MTLCompilerServi,root,,
860,GroupSessionService,jachian,0.0,0.09093284606933594
866,mscamerad-xpc,jachian,0.0,0.025033950805664062
871,ptpcamerad,jachian,0.0,0.025177001953125
879,findmydevice-user-agent,jachian,0.0,0.06890296936035156
889,siriknowledged,jachian,0.0,0.2028942108154297
890,rtcreportingd,root,,
896,DropboxActivityProvider,jachian,0.0,0.09279251098632812
900,AppleSpell,jachian,0.0,1.5613555908203125
901,naturallanguaged,jachian,0.0,0.11143684387207031
902,keyboardservicesd,jachian,0.0,0.08978843688964844
904,,root,,
914,m,jachian,0.0,0.1286029815673828
924,SiriNCService,jachian,0.0,0.1418590545654297
962,diagnosticextensionsd,jachian,0.0,0.06456375122070312
965,iconservicesagen,root,,
982,distnoted,nobody,,
1039,ReportCrash,root,,
1044,distnoted,_trustd,,
1045,distnoted,_assetcache,,
1064,fairplayd,_fpsd,,
1073,symptomsd-diag,root,,
1075,CAReportingServi,root,,
1082,nfcd,_applepay,,
1107,,root,,
1158,linkd,jachian,0.0,0.07238388061523438
1228,,root,,
1242,UniversalControl,jachian,0.0,0.1410961151123047
1243,biomesyncd,jachian,0.0,0.07367134094238281
1245,distnoted,_gamecontrollerd,,
1246,com.apple.Mobile,root,,
1258,package_script_s,root,,
1276,sysmond,root,,
1289,photoanalysisd,jachian,0.0,0.3232002258300781
1290,remotemanagement,_rmd,,
1305,online-authd,root,,
1315,MTLAssetUpgraderD,jachian,0.0,0.06728172302246094
1320,cloudphotod,jachian,0.0,0.09431838989257812
1325,DiskUnmountWatcher,jachian,0.0,0.012445449829101562
1328,crashpad_handler,jachian,0.0,0.02155303955078125
1382,,root,,
1384,crashpad_handler,jachian,0.0,0.02155303955078125
1385,Google Drive,jachian,0.0,0.40149688720703125
1394,mdbulkimport,jachian,0.0,0.1316547393798828
1401,Google Drive Helper (GPU),jachian,0.0,0.2007007598876953
1404,Google Drive Helper,jachian,0.0,0.12478828430175781
1405,Google Drive Helper,jachian,0.0,0.13418197631835938
1406,Google Drive Helper (Renderer),jachian,0.0,0.13895034790039062
1407,Google Drive Helper (Renderer),jachian,0.0,0.2590656280517578
1412,FinderSyncExtension,jachian,0.0,0.10867118835449219
1416,VTDecoderXPCService,jachian,0.0,0.04591941833496094
1417,mscamerad-xpc,jachian,0.0,0.0247955322265625
1482,com.apple.audio.ComponentTagHelper,jachian,0.0,0.017547607421875
1485,distnoted,_accessoryupdater,,
1499,CategoriesService,jachian,0.0,0.06833076477050781
1500,Safari,jachian,0.0,1.2244224548339844
1501,com.apple.Safari.History,jachian,0.0,0.1347064971923828
1502,MTLCompilerService,jachian,0.0,0.11029243469238281
1504,com.apple.accessibility.mediaaccessibilityd,jachian,0.0,0.018358230590820312
1505,com.apple.WebKit.Networking,jachian,0.0,0.2772808074951172
1506,com.apple.audio.SandboxHelper,jachian,0.0,0.029134750366210938
1507,SafariBookmarksSyncAgent,jachian,0.0,0.2087116241455078
1508,translationd,jachian,0.0,0.08082389831542969
1509,PasswordBreachAgent,jachian,0.0,0.08602142333984375
1510,SafariLaunchAgent,jachian,0.0,0.14967918395996094
1511,com.apple.Safari.SandboxBroker,jachian,0.0,0.2213001251220703
1513,webinspectord,jachian,0.0,0.048065185546875
1514,com.apple.CoreSimulator.CoreSimulatorService,jachian,0.0,0.07991790771484375
1516,ImageIOXPCService,jachian,0.0,0.03962516784667969
1518,,root,,
1519,com.apple.appkit.xpc.openAndSavePanelService,jachian,0.0,0.26335716247558594
1521,SafariNotificationAgent,jachian,0.0,0.1495838165283203
1522,QuickLookUIService,jachian,0.0,0.11591911315917969
1525,SimulatorTrampoline,jachian,0.0,0.07801055908203125
1526,PlugInLibraryService,jachian,0.0,0.01239776611328125
1533,passd,jachian,0.0,0.12884140014648438
1543,com.apple.Safari.SafeBrowsing.Service,jachian,0.0,0.40264129638671875
1544,com.apple.Safari.SearchHelper,jachian,0.0,0.08258819580078125
1545,osanalyticshelpe,root,,
1553,webpushd,jachian,0.0,0.04277229309082031
1584,gamecontrolleragentd,jachian,0.0,0.04253387451171875
