pid,name,username,cpu_percent,memory_info,memory_percent,nice,num_ctx_switches,create_time,utime,stime,cutime,cstime
1394,mdbulkimport,jachian,0.0,"pmem(rss=7639040, vms=34509045760, pfaults=84839, pageins=105)",0.08893013000488281,17,"pctxsw(voluntary=140333761451492, involuntary=0)",1681144121.37735,3.94909696,2.841126912,0.0,0.0
1401,Google Drive Helper (GPU),jachian,0.0,"pmem(rss=13144064, vms=35339907072, pfaults=41801, pageins=2202)",0.1530170440673828,0,"pctxsw(voluntary=140333761439862, involuntary=0)",1681144121.827546,0.529810592,0.491365312,0.0,0.0
1404,Google Drive Helper,jachian,0.0,"pmem(rss=6336512, vms=35244126208, pfaults=13403, pageins=9)",0.07376670837402344,0,"pctxsw(voluntary=140333761432731, involuntary=0)",1681144121.939894,0.123476488,0.091992416,0.0,0.0
1405,Google Drive Helper,jachian,0.0,"pmem(rss=6430720, vms=35252555776, pfaults=18331, pageins=903)",0.07486343383789062,0,"pctxsw(voluntary=140333761433614, involuntary=0)",1681144121.941803,0.146092368,0.169844896,0.0,0.0
1406,Google Drive Helper (Renderer),jachian,0.0,"pmem(rss=7008256, vms=78737989632, pfaults=17912, pageins=72)",0.08158683776855469,0,"pctxsw(voluntary=140333761433181, involuntary=0)",1681144121.947448,0.120623488,0.1006258,0.0,0.0
1407,Google Drive Helper (Renderer),jachian,0.0,"pmem(rss=17858560, vms=78767706112, pfaults=48976, pageins=6755)",0.2079010009765625,0,"pctxsw(voluntary=140333761440549, involuntary=0)",1681144121.949402,0.43223152,0.501715936,0.0,0.0
1412,FinderSyncExtension,jachian,0.0,"pmem(rss=9129984, vms=34678255616, pfaults=88726, pageins=258)",0.10628700256347656,0,"pctxsw(voluntary=140333761449828, involuntary=0)",1681144122.293437,1.26541888,0.887984,0.0,0.0
1416,VTDecoderXPCService,jachian,0.0,"pmem(rss=3215360, vms=35035611136, pfaults=5602, pageins=2)",0.03743171691894531,0,"pctxsw(voluntary=140333761429971, involuntary=0)",1681144122.669392,0.09465004,0.052291324,0.0,0.0
1417,mscamerad-xpc,jachian,0.0,"pmem(rss=2068480, vms=34970001408, pfaults=1697, pageins=21)",0.024080276489257812,0,"pctxsw(voluntary=140333761429794, involuntary=0)",1681144122.911051,0.013936565,0.023343592,0.0,0.0
1485,distnoted,_accessoryupdater,0.0,"pmem(rss=1024000, vms=34437611520, pfaults=3113, pageins=6)",0.011920928955078125,0,"pctxsw(voluntary=140333761438913, involuntary=0)",1681144136.089089,0.199779312,0.273125792,0.0,0.0
1499,CategoriesService,jachian,0.0,"pmem(rss=5505024, vms=34513055744, pfaults=24858, pageins=52)",0.0640869140625,0,"pctxsw(voluntary=140333761439397, involuntary=0)",1681144136.664763,0.413199936,0.487717664,0.0,0.0
1500,Safari,jachian,0.0,"pmem(rss=160792576, vms=41050152960, pfaults=4761536, pageins=18303)",1.8718719482421875,0,"pctxsw(voluntary=140333770205852, involuntary=0)",1681144137.078461,605.063872512,194.825273344,0.0,0.0
1501,com.apple.Safari.History,jachian,0.0,"pmem(rss=12087296, vms=35216179200, pfaults=458540, pageins=99)",0.1407146453857422,0,"pctxsw(voluntary=140333761770587, involuntary=0)",1681144137.223005,39.107641344,6.94833408,0.0,0.0
1504,com.apple.accessibility.mediaaccessibilityd,jachian,0.0,"pmem(rss=1482752, vms=34466476032, pfaults=6635, pageins=2)",0.017261505126953125,0,"pctxsw(voluntary=140333761430998, involuntary=0)",1681144137.587356,0.060351176,0.069658376,0.0,0.0
1505,com.apple.WebKit.Networking,jachian,0.0,"pmem(rss=30515200, vms=39260237824, pfaults=1720913, pageins=144751)",0.3552436828613281,0,"pctxsw(voluntary=140333764933797, involuntary=0)",1681144137.598303,187.58868992,107.245092864,0.0,0.0
1507,SafariBookmarksSyncAgent,jachian,0.0,"pmem(rss=12472320, vms=34670202880, pfaults=1263047, pageins=159)",0.14519691467285156,0,"pctxsw(voluntary=140333761590720, involuntary=0)",1681144137.695667,18.047248384,8.618172416,0.0,0.0
1508,translationd,jachian,0.0,"pmem(rss=7376896, vms=34503176192, pfaults=155966, pageins=175)",0.08587837219238281,0,"pctxsw(voluntary=140333761476863, involuntary=0)",1681144138.256135,10.35848192,1.946179712,0.0,0.0
1509,PasswordBreachAgent,jachian,0.0,"pmem(rss=6090752, vms=34501906432, pfaults=13076, pageins=24)",0.07090568542480469,0,"pctxsw(voluntary=140333761436217, involuntary=0)",1681144138.457125,0.17903416,0.254889376,0.0,0.0
1510,SafariLaunchAgent,jachian,0.0,"pmem(rss=6856704, vms=34497527808, pfaults=5698, pageins=8)",0.07982254028320312,0,"pctxsw(voluntary=140333761430031, involuntary=0)",1681144138.809811,0.051636832,0.052308736,0.0,0.0
1511,com.apple.Safari.SandboxBroker,jachian,0.0,"pmem(rss=13123584, vms=35042844672, pfaults=53144, pageins=177)",0.15277862548828125,0,"pctxsw(voluntary=140333761456394, involuntary=0)",1681144139.025069,0.736087168,0.877591424,0.0,0.0
1513,webinspectord,jachian,0.0,"pmem(rss=4071424, vms=34466029568, pfaults=23725, pageins=12)",0.047397613525390625,0,"pctxsw(voluntary=140333761459651, involuntary=0)",1681144139.441796,1.15260672,0.751681728,0.0,0.0
1514,com.apple.CoreSimulator.CoreSimulatorService,jachian,0.0,"pmem(rss=6238208, vms=35025154048, pfaults=23703, pageins=1)",0.07262229919433594,0,"pctxsw(voluntary=140333761440510, involuntary=0)",1681144139.490483,0.28793008,0.484618432,0.0,0.0
1516,ImageIOXPCService,jachian,0.0,"pmem(rss=3784704, vms=34474328064, pfaults=17427, pageins=174)",0.04405975341796875,0,"pctxsw(voluntary=140333761434281, involuntary=0)",1681144140.043725,0.389211296,0.343125664,0.0,0.0
1519,com.apple.appkit.xpc.openAndSavePanelService,jachian,0.0,"pmem(rss=13410304, vms=35206172672, pfaults=110432, pageins=515)",0.15611648559570312,0,"pctxsw(voluntary=140333761466265, involuntary=0)",1681144140.277988,1.797847296,1.592748672,0.0,0.0
1522,QuickLookUIService,jachian,0.0,"pmem(rss=8740864, vms=35022147584, pfaults=35212, pageins=8)",0.10175704956054688,0,"pctxsw(voluntary=140333761452817, involuntary=0)",1681144140.55061,0.4738392,0.490644032,0.0,0.0
1525,SimulatorTrampoline,jachian,0.0,"pmem(rss=6107136, vms=35023413248, pfaults=22019, pageins=1)",0.07109642028808594,0,"pctxsw(voluntary=140333761437288, involuntary=0)",1681144141.423493,0.187741136,0.218365056,0.0,0.0
1526,PlugInLibraryService,jachian,0.0,"pmem(rss=987136, vms=34466521088, pfaults=1399, pageins=3)",0.011491775512695312,0,"pctxsw(voluntary=140333761429638, involuntary=0)",1681144141.600039,0.006758178,0.013910775,0.0,0.0
1533,passd,jachian,0.0,"pmem(rss=8437760, vms=34511642624, pfaults=29938, pageins=816)",0.09822845458984375,0,"pctxsw(voluntary=140333761443116, involuntary=0)",1681144142.811749,0.599906112,0.914905984,0.0,0.0
1543,com.apple.Safari.SafeBrowsing.Service,jachian,0.0,"pmem(rss=33755136, vms=34533023744, pfaults=220872, pageins=58953)",0.3929615020751953,0,"pctxsw(voluntary=140333761503131, involuntary=0)",1681144143.579721,20.191115264,4.721373696,0.0,0.0
1544,com.apple.Safari.SearchHelper,jachian,0.0,"pmem(rss=8126464, vms=34673172480, pfaults=63092, pageins=16)",0.0946044921875,0,"pctxsw(voluntary=140333761494314, involuntary=0)",1681144143.715413,3.338766848,1.617720832,0.0,0.0
1545,osanalyticshelper,root,0.0,"pmem(rss=5357568, vms=34497900544, pfaults=14541, pageins=527)",0.06237030029296875,0,"pctxsw(voluntary=140333761433366, involuntary=0)",1681144143.798997,1.084002304,0.237733072,0.0,0.0
1601,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=24305664, vms=127434436608, pfaults=5424615, pageins=1817)",0.2829551696777344,0,"pctxsw(voluntary=140333762042785, involuntary=0)",1681144156.250228,77.902667776,37.094764544,0.0,0.0
1612,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=16642048, vms=143723593728, pfaults=431134, pageins=1414)",0.1937389373779297,0,"pctxsw(voluntary=140333761538484, involuntary=0)",1681144158.631773,9.639821312,5.244680704,0.0,0.0
1706,distnoted,_rmd,0.0,"pmem(rss=1024000, vms=34437611520, pfaults=3130, pageins=7)",0.011920928955078125,0,"pctxsw(voluntary=140333761438864, involuntary=0)",1681144173.192677,0.194039232,0.277089344,0.0,0.0
1708,systemstats,root,0.0,"pmem(rss=2723840, vms=34498678784, pfaults=10870, pageins=126)",0.03170967102050781,0,"pctxsw(voluntary=140333761435183, involuntary=0)",1681144173.555935,0.100336752,0.215766416,0.0,0.0
1734,adprivacyd,jachian,0.0,"pmem(rss=7761920, vms=34504486912, pfaults=23799, pageins=131)",0.09036064147949219,0,"pctxsw(voluntary=140333761440656, involuntary=0)",1681144178.129118,0.526210688,0.504801248,0.0,0.0
1764,mdbulkimport,_spotlight,0.0,"pmem(rss=4927488, vms=34499719168, pfaults=57593, pageins=40)",0.05736351013183594,17,"pctxsw(voluntary=140333761445812, involuntary=0)",1681144182.76481,2.88152064,1.830728448,0.0,0.0
1765,mdworker,jachian,0.0,"pmem(rss=4227072, vms=34467028992, pfaults=7182, pageins=52)",0.0492095947265625,0,"pctxsw(voluntary=140333761431290, involuntary=0)",1681144182.767013,0.219076032,0.3645184,0.0,0.0
1793,trustd,_spotlight,0.0,"pmem(rss=3133440, vms=34500554752, pfaults=10671, pageins=69)",0.03647804260253906,0,"pctxsw(voluntary=140333761433573, involuntary=0)",1681144185.810813,0.685257216,0.239610704,0.0,0.0
1794,assistant_service,jachian,0.0,"pmem(rss=25214976, vms=34541735936, pfaults=186237, pageins=1569)",0.29354095458984375,0,"pctxsw(voluntary=140333761521479, involuntary=0)",1681144186.259038,16.381893632,6.594553856,0.0,0.0
1826,weatherd,jachian,0.0,"pmem(rss=5853184, vms=34504818688, pfaults=12157, pageins=287)",0.06814002990722656,0,"pctxsw(voluntary=140333761435631, involuntary=0)",1681144192.389755,0.19724416,0.303887424,0.0,0.0
1993,storeaccountd,jachian,0.0,"pmem(rss=6496256, vms=34466521088, pfaults=5883, pageins=6)",0.07562637329101562,0,"pctxsw(voluntary=140333761430031, involuntary=0)",1681144226.127183,0.105019488,0.052404892,0.0,0.0
2067,memoryanalyticsd,root,0.0,"pmem(rss=2097152, vms=35000614912, pfaults=1667, pageins=9)",0.0244140625,0,"pctxsw(voluntary=140333761429825, involuntary=0)",1681144240.155806,0.014673817,0.028942108,0.0,0.0
2072,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=56365056, vms=144089165824, pfaults=3364907, pageins=4008)",0.6561756134033203,0,"pctxsw(voluntary=140333763719340, involuntary=0)",1681144240.65176,410.707755008,69.980274688,0.0,0.0
2097,com.apple.WebKit.GPU,jachian,0.0,"pmem(rss=14467072, vms=39497654272, pfaults=187470, pageins=1763)",0.16841888427734375,0,"pctxsw(voluntary=140333761695444, involuntary=0)",1681144244.872683,7.171738624,6.17602304,0.0,0.0
2110,reversetemplated,jachian,0.0,"pmem(rss=5541888, vms=38956818432, pfaults=17116, pageins=202)",0.06451606750488281,0,"pctxsw(voluntary=140333761431599, involuntary=0)",1681144246.469354,0.157204336,0.219585712,0.0,0.0
2111,CrashReporterSupportHelper,root,0.0,"pmem(rss=1712128, vms=34465923072, pfaults=1578, pageins=4)",0.019931793212890625,0,"pctxsw(voluntary=140333761429707, involuntary=0)",1681144246.902617,0.013406472,0.026774008,0.0,0.0
2316,proactiveeventtrackerd,jachian,0.0,"pmem(rss=3698688, vms=34497880064, pfaults=5622, pageins=82)",0.04305839538574219,0,"pctxsw(voluntary=140333761430677, involuntary=0)",1681144287.546339,0.179591232,0.11655352,0.0,0.0
2557,containermanagerd,_spotlight,0.0,"pmem(rss=1028096, vms=34465890304, pfaults=1982, pageins=23)",0.011968612670898438,0,"pctxsw(voluntary=140333761429682, involuntary=0)",1681144329.077836,0.034068768,0.019678176,0.0,0.0
2712,EscrowSecurityAlert,jachian,0.0,"pmem(rss=6717440, vms=34496778240, pfaults=6643, pageins=38)",0.0782012939453125,0,"pctxsw(voluntary=140333761430866, involuntary=0)",1681144353.368666,0.090642104,0.109153872,0.0,0.0
3305,com.apple.mail.SpotlightIndexExtension,jachian,0.0,"pmem(rss=6021120, vms=34497609728, pfaults=3773, pageins=45)",0.07009506225585938,0,"pctxsw(voluntary=140333761429890, involuntary=0)",1681144450.705709,0.0261158,0.040666576,0.0,0.0
3309,MobileSMSSpotlightImporterCatalyst,jachian,0.0,"pmem(rss=8159232, vms=34513133568, pfaults=7080, pageins=67)",0.0949859619140625,0,"pctxsw(voluntary=140333761430924, involuntary=0)",1681144451.375522,0.155358096,0.105890024,0.0,0.0
3403,ssh-agent,jachian,0.0,"pmem(rss=811008, vms=34423648256, pfaults=3726, pageins=8)",0.009441375732421875,0,"pctxsw(voluntary=140333761430149, involuntary=0)",1681144463.369422,0.196374912,0.049924784,0.0,0.0
